,Return,Volatility,BND,VCIT,VOO,VGIT
2751,0.06036562375245688,0.06814985219270447,0.08823729512577687,0.5030325050905746,0.23987494552624017,0.16885525425740835
223,0.0613662810954157,0.06815071105287855,0.24443790456281583,0.2571604375365217,0.2731432472630749,0.22525841063758767
765,0.06088382525207921,0.06815234201241553,0.2281013314867022,0.32016649618478066,0.2617422513013191,0.18998992102719806
1376,0.06125693842003413,0.0681579667452564,0.2093258251665657,0.3103334755592695,0.26694935664020303,0.21339134263396176
2747,0.05845668866788127,0.06817010016040909,0.4681654237873251,0.22270874480255065,0.24330666905020462,0.06581916235991964
341,0.060925943205614855,0.06818064193659674,0.28722638485095087,0.24599870190925383,0.26902907644453716,0.19774583679525815
1013,0.059087938605524505,0.06819930025496979,0.31669293289218114,0.3590757616980805,0.23777409159520152,0.08645721381453694
219,0.06008217912632185,0.06827666659349929,0.30751197541244657,0.29908316286468983,0.2542903613300557,0.139114500392808
299,0.06143988948195345,0.06828412846854903,0.2613959572946607,0.23610804515932968,0.27575349786071585,0.22674249968529384
840,0.063256328598223,0.06829536315746053,0.21706727449198235,0.07510857914717076,0.3132218090472554,0.3946023373135915
1006,0.06329279955478909,0.06829618770024655,0.1509929504358986,0.1767241909462168,0.30353027910668623,0.3687525795111984
2978,0.06043648919721048,0.06829657717990575,0.4624058825778287,0.04699996688986633,0.2826179114261652,0.20797623910613974
1960,0.0624076672895926,0.06831820246596827,0.24855721315738113,0.14848461510067656,0.29554800009132,0.3074101716506224
1747,0.062490716211555226,0.06832638724434749,0.11902496214735994,0.311480719603026,0.28108097445467334,0.2884133437949408
1827,0.061756449973108966,0.06832894328686451,0.33942499758134087,0.08931183505788033,0.2936746026355035,0.2775885647252753
