,Return,Volatility,AAPL,VTI
17,0.2546908583836699,0.2639117425340432,0.5728192762119279,0.4271807237880721
1099,0.2546954978240678,0.26391458939407614,0.5728410044017421,0.42715899559825793
1758,0.25478397505233474,0.26396889073081586,0.5732553754993589,0.4267446245006411
2841,0.25482987543875435,0.26399706862737765,0.573470343733268,0.42652965626673206
1919,0.2548802506878144,0.26402799938068366,0.5737062693793874,0.42629373062061265
637,0.2548805762397101,0.26402819929145405,0.5737077940575334,0.4262922059424667
332,0.2549542215074367,0.26407342892228225,0.5740527016797532,0.42594729832024675
405,0.254956232037077,0.26407466388062506,0.5740621177226173,0.42593788227738266
206,0.25498012863767694,0.2640893429909773,0.5741740342102133,0.42582596578978676
1030,0.25506750948794715,0.2641430305179242,0.5745832705701944,0.4254167294298057
420,0.25507568122833235,0.2641480522317723,0.5746215418078809,0.42537845819211906
410,0.25514325132528193,0.264189581620111,0.5749379971917972,0.42506200280820283
1737,0.2552084506505164,0.26422966418514465,0.5752433493879553,0.4247566506120446
2271,0.2552348137718253,0.2642458742973646,0.5753668174907353,0.42463318250926474
1978,0.2553730747131403,0.2643309149640722,0.5760143438557948,0.42398565614420525
2870,0.2554361325289477,0.2643697152231274,0.5763096665830236,0.42369033341697626
631,0.25546301273436994,0.26438625781383485,0.5764355563791116,0.4235644436208884
1789,0.2554676510037464,0.2643891124664587,0.5764572790846056,0.4235427209153944
1479,0.2554881367784348,0.2644017211777085,0.5765532214316866,0.4234467785683133
