,Return,Volatility,VYM,VTI,VUG,VGIT,FB,AAPL,MSFT,GOOGL
2459,0.21053938292306776,0.18397182996873193,0.22285542688872634,0.01376357609537009,0.2633844068883514,0.20920428925763188,0.028496394322089173,0.09536241188785549,0.013542524357760178,0.15339097030221555
2660,0.20144050689945772,0.18400764500346123,0.20156117042933422,0.20076224291128414,0.05355101056674462,0.20586394309541023,0.06044381303635275,0.0930167502706391,0.009414679770741579,0.1753863899194933
698,0.192753913248463,0.18405944236323907,0.16234447705900487,0.2424544278316859,0.2050211728079598,0.20471470459926208,0.07559700000625802,0.10099084848183153,0.005406041442544442,0.0034713277714534152
2549,0.20128602391093736,0.1842309611040645,0.22312058496171347,0.19117828062451842,0.07170446232767844,0.21455323985447047,0.09485628761278436,0.1596167959325578,0.0077594651730813,0.03721088351319564
2575,0.22143634575152185,0.18424877966284753,0.20782963456513015,0.04127384962390872,0.12598289753111894,0.2347071058818961,0.04138437426138012,0.11635282305447281,0.18993991812432695,0.04252939695776624
1958,0.19475417086939628,0.18439960178108297,0.22165027659687336,0.04399286704939899,0.15543351884534035,0.2172470457552516,0.08835815995977626,0.016359663061834794,0.11909615918495348,0.1378623095465712
538,0.20267425974951334,0.18442738551106613,0.20744700461072083,0.1897800659167528,0.15130419889740207,0.19861371615805343,0.01248309208205299,0.03053718247701733,0.18321178150179043,0.02662295835621013
1089,0.17708967428076564,0.18451591838520956,0.19154728893208772,0.08015281373311985,0.22202198092065314,0.2277346763558901,0.16017592067608855,0.0386662638358679,0.029954597595795576,0.049746457950497106
645,0.21065212614359094,0.18456072216660963,0.290543508513427,0.061342667908422174,0.1329501658335796,0.1971960570067917,0.03364927897728582,0.11402469470120886,0.07091958466013273,0.09937404239915217
1354,0.2219678054727942,0.18460582910292045,0.19920242593838575,0.07593578825084463,0.18006337017180227,0.21745503676550232,0.007692596688409194,0.11516544581890042,0.12329825359351854,0.08118708277263685
2002,0.22394517261638056,0.18472586847679717,0.22191911637075595,0.034714635538928736,0.140346592519929,0.22873340283189203,0.0043357186637600215,0.08692243128597502,0.24611298146779675,0.03691512132096244
2320,0.19290033984758537,0.18474155425694672,0.2035215829438926,0.13379011856805426,0.08185814470357716,0.2154976472941166,0.09625998776188732,0.015131539189189072,0.15413959784082187,0.09980138169846114
1049,0.19764197873282655,0.18480375031382096,0.18556788162193485,0.10891373980829792,0.0028143887600356092,0.24540129432995142,0.1265309972318018,0.030415373633962576,0.24439113386760106,0.05596519074641476
259,0.19482188260606687,0.18503071739556645,0.20570174232204774,0.2141983015807852,0.17836290630661572,0.18194227725342788,0.01256371349163066,0.004313249571753246,0.10122521853426429,0.1016925909394753
439,0.19790055876628956,0.18506398409213842,0.17666624373613216,0.13577896739824416,0.19108984272345111,0.21149795890428108,0.08623667323640272,0.07079214288235607,0.0658105604385473,0.06212761068058549
2204,0.1895671910286211,0.18521699635495043,0.20761607287511713,0.08497767507098902,0.04869332537080282,0.2278570349333628,0.12120185422334814,0.0034257513872404,0.1299572924837422,0.17627099365539756
