,Return,Volatility,VGSH,AAPL,VOO,AMZN
1301,0.15651910285427312,0.17144911230039997,0.27025016828499127,0.17883910389974475,0.37060039526289107,0.18031033255237297
661,0.13728382708330764,0.17148740271341423,0.2748887317973191,0.026381429809699077,0.3502655809446275,0.3484642574483543
1071,0.13932175781752767,0.171496733329137,0.35861214770162403,0.048040037218901294,0.14394734650160596,0.4494004685778687
2852,0.16278525793581144,0.1716259900504593,0.2985412704151037,0.21689736386409275,0.28048899970593605,0.2040723660148675
602,0.15020157750533406,0.17169785944401747,0.2682152883229468,0.11907613793460281,0.35670995896303004,0.25599861477942026
385,0.17647929061731418,0.17180232897696776,0.3516230103013964,0.3393575652024875,0.17272558700522722,0.13629383749088886
16,0.1805720723862335,0.17181185409664862,0.3759838782139421,0.3789474089357379,0.12360915345906048,0.12145955939125955
1352,0.16514025000514213,0.17183429796716626,0.3643847045727975,0.22317572117255935,0.0902414620768214,0.3221981121778218
1584,0.15606280329520725,0.17184041990428991,0.261992790532253,0.18078283187318522,0.4011764609757701,0.15604791661879175
1176,0.1736729206591916,0.17184147497471858,0.33333774545836764,0.3446990482975417,0.26552320204234336,0.05644000420174714
2561,0.1508795265188133,0.17191991516154756,0.24323611806202253,0.18182481842572643,0.5187910074963837,0.056148056015867365
2404,0.18379487994070523,0.17196023856002066,0.3954819764461279,0.41980944888341504,0.10052647553750657,0.08418209913295045
1079,0.16722916328416745,0.17197423343527987,0.32472494428116727,0.24381694588284938,0.20063507188980817,0.23082303794617506
2127,0.1695960221179772,0.1720628596311129,0.3594966427326873,0.25790908138879515,0.10382745525102542,0.27876682062749203
699,0.17254209897780387,0.17214218687951297,0.3682555778957212,0.2827112551513173,0.08491096329231591,0.26412220366064565
1102,0.13840503156121836,0.17227024041272948,0.38758678093934784,0.0475288513566362,0.08005634552494781,0.48482802217906823
962,0.1783824562047145,0.1723012063980392,0.36101811027592934,0.39708188366231323,0.2214784221837981,0.020421583877959414
2506,0.1667981739115358,0.17235409860731138,0.3404761617491639,0.23368705281014257,0.148339595712381,0.27749718972831255
2372,0.16382755895467296,0.17238892663088293,0.2904130215182665,0.2273981160176895,0.3057558089751777,0.1764330534888663
452,0.1666064076627707,0.172393999775741,0.2969873390515645,0.2565509963109745,0.3020313026093489,0.14443036202811205
990,0.1523841373288346,0.17240800346497417,0.30683225790421254,0.12387889569417461,0.23661714199500375,0.33267170440660904
930,0.1490883418561098,0.17246332605505957,0.37721279984563355,0.11099110874442338,0.07558530125855945,0.4362107901513837
349,0.1605049735199213,0.17246556611197753,0.28600255970784844,0.19422525848983,0.3041389964434187,0.21563318535890286
1120,0.17114824211028348,0.17247518541433765,0.31790314232013395,0.2900129831510344,0.24561088967154018,0.14647298485729157
1341,0.1690878793593377,0.17263376858709942,0.3376920248582751,0.2522867471958551,0.1572975786812321,0.25272364926463786
1451,0.1542994520329478,0.1726550256247435,0.3090693383738254,0.13641545881147685,0.22718308531209977,0.327332117502598
1402,0.16302138593949045,0.1726850042779403,0.35785045171076674,0.20238192261839824,0.09944695906612207,0.34032066660471294
2762,0.14372784359805552,0.1727020708059827,0.22869844321892152,0.08379125493821751,0.4832482549870645,0.20426204685579655
1281,0.13907401306142037,0.17271986236712458,0.2558319092669699,0.03459077589588881,0.3901984872657696,0.3193788275713717
2158,0.1526792750092251,0.17272197846223708,0.29445665879465466,0.12519108060536552,0.267011565662319,0.3133406949376608
