,Return,Volatility,VGSH,VO,VOO,AMZN
245,0.12788422026721885,0.17769098628487098,0.2407134827157215,0.3319084274940262,0.05437279623489863,0.3730052935553536
466,0.1290084742359639,0.17774142448770985,0.24019426933051977,0.29564524665907915,0.09155433037143391,0.3726061536389672
487,0.13225438746250645,0.1777750848245894,0.22701414000254153,0.1744098547180488,0.25211851913505434,0.3464574861443553
1033,0.1334591101367643,0.17788001393134184,0.2417887575412375,0.14615466112132108,0.23756150107315122,0.37449508026429024
2709,0.11201417989233098,0.1779815739963436,0.1653267045912563,0.3696040520254531,0.40308444617049227,0.061984797212798315
430,0.10401734105950083,0.17800711343655326,0.17438535377802156,0.5058759432749953,0.2939858440180225,0.025752858928960516
2082,0.11273904280334504,0.17801667131716417,0.17526780099313508,0.5196976973766936,0.1591652616295739,0.14586924000059745
206,0.13146161084828167,0.17809674786498866,0.22791080898746224,0.21163624568325348,0.2083143860467748,0.3521385592825096
1065,0.1262157984777705,0.1781096062073423,0.20689434284099087,0.347974347647287,0.14116389527266002,0.30396741423906204
30,0.11428827465444807,0.1781294092441265,0.16581991264071802,0.38916716674045865,0.34505033870393365,0.09996258191488966
1947,0.10841230568177174,0.17814972307380145,0.16770698163030434,0.41297640223697824,0.38338929300383073,0.03592732312888672
2379,0.1292449653060379,0.17817440410347513,0.24793934504331488,0.30237240157283407,0.059093318617396993,0.3905949347664541
2294,0.12040466516270955,0.17823056848018076,0.17369978882257356,0.37183080737735663,0.2693240081530181,0.18514539564705174
2093,0.10570034484788589,0.17823318163272803,0.17033842506184155,0.43376591261599684,0.3828974031585494,0.012998259163612216
1134,0.12350123663147682,0.17824600594904527,0.18334793467912788,0.351437279574559,0.23251038626115528,0.23270439948515792
1959,0.1302416494447933,0.17826129740841948,0.20239448074531327,0.21491347408899805,0.2855962149568683,0.29709583020882036
442,0.12763291597312204,0.1782868319639721,0.17128650898855688,0.16819687594718274,0.46492736112604044,0.1955892539382199
1313,0.10961142041124303,0.17829019205861335,0.16449836462474282,0.3124342039294437,0.5159707563796003,0.007096675066213148
2210,0.12823907243002947,0.1782921297966775,0.20882152138720828,0.29480813576207177,0.1838519662158417,0.31251837663487836
1264,0.1367995965735411,0.17831294591107066,0.278531472512778,0.028159978224220655,0.2632769122496031,0.43003163701339836
2539,0.12901786024345577,0.17832018758259743,0.2331425138944777,0.3046584237524842,0.09713183110485901,0.365067231248179
171,0.1341286482613998,0.17837611252608762,0.2584107419918262,0.1373613232690412,0.19810686616242418,0.40612106857670843
1471,0.12633123497469642,0.17837826667673595,0.2135651850714516,0.3661529105354656,0.09712402996562507,0.32315787442745775
2019,0.13143478671965733,0.17838251704343652,0.201414495064345,0.17689830655115152,0.3255116388084905,0.2961755595760129
2056,0.12952980984620588,0.17842179566450456,0.19615466704910217,0.22675349465496636,0.2945115597735028,0.28258027852242873
855,0.1333421087339915,0.1785269138671126,0.37838778808323903,0.020399051903885593,0.06074068569882983,0.5404724743140455
1039,0.1369301603007243,0.17857722804895124,0.2734839061097505,0.032284613038696994,0.2688971321554041,0.4253343486961485
1318,0.11515079956878946,0.17865750991158402,0.1681322020405255,0.44685494584815405,0.24761624158576775,0.13739661052555271
1043,0.12712245292643212,0.17868399626294018,0.18980052255298996,0.29044939211139426,0.25361499525181747,0.26613509008379826
408,0.13363738552305351,0.17869344340005294,0.2749929254754155,0.1575574845263363,0.1335095046379351,0.4339400853603131
2504,0.11144424982462836,0.17869933587247375,0.17673293833962933,0.5881081145884905,0.07703367522192148,0.1581252718499587
2758,0.1363104170821684,0.1787282943898653,0.22546647474796996,0.053838067383094004,0.371150411928645,0.34954504594029107
457,0.1250495360613347,0.1787328898028084,0.18729081018965374,0.34366968782541274,0.21300321105221104,0.2560362909327225
631,0.12313288111936706,0.17877886317481062,0.15391271263450382,0.11201757540898392,0.6464736532421294,0.08759605871438292
1016,0.12637757825011892,0.17880774249488174,0.18117839291775376,0.2827996874536837,0.29623246449563967,0.23978945513292285
1486,0.1360994812364514,0.1788325835957125,0.20495280196723567,0.03540423993762381,0.4525868455771552,0.30705611251798537
