,Return,Volatility,AAPL,AMZN,GOOGL
91,0.20200598311102327,0.3092835445020526,0.27583591379130523,0.2564146981216219,0.4677493880870729
2381,0.17400189568057264,0.30928443365346225,0.16285378356063218,0.3915198163829558,0.445626400056412
1713,0.2038517966055593,0.3092854246061022,0.27295870420779617,0.24255441934134928,0.48448687645085453
2772,0.1832368249538585,0.3092864089676331,0.22343091682610158,0.3581583117804219,0.4184107713934766
2446,0.1966633986568174,0.309289091602527,0.2717156708684999,0.2905577150258797,0.4377266141056203
1219,0.1865421842631845,0.3092963887513364,0.2394246809764217,0.3434875778546664,0.41708774116891184
1734,0.20627854229743348,0.30929683442393796,0.23617895018643817,0.20849457497202542,0.5553264748415364
1509,0.19446046057656813,0.30930031272418523,0.26719288823786613,0.3032807515371312,0.42952636022500257
2323,0.18339964769420658,0.3093070705531049,0.22500122458700608,0.3578111754933733,0.4171875999196206
2682,0.20297343155074946,0.3093085624064665,0.27624354537474716,0.250069541970939,0.47368691265431373
2462,0.1701223234513005,0.3093124511014035,0.12131411192652464,0.39781165657551026,0.48087423149796504
2751,0.1837925703982396,0.3093173734955726,0.22733788946814204,0.35627618339280887,0.41638592713904915
189,0.18836081951353395,0.3093198511001437,0.24781252756371405,0.3352178531386442,0.4169696192976417
117,0.17033559515010438,0.3093199359721388,0.07407986847097982,0.3736990835992918,0.5522210479297284
261,0.2016647762555235,0.30932061705040764,0.17634733677257908,0.21097076519328023,0.6126818980341407
2126,0.19296070614560976,0.3093232481097806,0.26388972730136523,0.3118350196241456,0.42427525307448916
2533,0.17057182303498242,0.3093317960999277,0.0715320164093515,0.3708791013196188,0.5575888822710297
2428,0.20521436907404325,0.3093339562192588,0.27141894038822056,0.23260319966005485,0.4959778599517246
2606,0.17093860226167173,0.3093348684541263,0.06952429533194585,0.36743571956575743,0.5630399851022968
1097,0.1780188831466243,0.3093354602470935,0.19511492039080358,0.3798455787840682,0.4250395008251282
947,0.205285268703799,0.309342257344442,0.27176578858129374,0.23229032982643935,0.4959438815922669
1614,0.1884133591107031,0.30935001390005723,0.2490518340213812,0.3354574598577633,0.4154907061208556
1008,0.1700607964414901,0.3093505630493541,0.07291939728396482,0.3749999823249241,0.552080620391111
1743,0.18690853971140345,0.3093568679575629,0.24308580586653636,0.34276789503126853,0.41414629910219525
2819,0.17527731237837163,0.3093571229328416,0.17674283072283534,0.38956309811442164,0.43369407116274306
2066,0.18077878773581021,0.3093579090230815,0.21276413085208914,0.3696571517133673,0.41757871743454344
30,0.20699779242772273,0.30936458334986916,0.24515752540069172,0.20794119016022594,0.5469012844390824
1777,0.20430819757244228,0.3093655633950126,0.27713712488384995,0.2414742320651381,0.4813886430510119
1438,0.1964280977575499,0.30936634916813893,0.2742275993113124,0.2933541880738902,0.4324182126147973
587,0.17682440099015312,0.3093812266211691,0.18896284490165466,0.38496856494653475,0.42606859015181053
1188,0.17181980258066462,0.30938525265682576,0.06345875295758283,0.3585667955855775,0.5779744514568397
883,0.20703485973877725,0.30938534573540377,0.25885658630490455,0.214265618791875,0.5268777949032204
1593,0.16864232780533364,0.3093858319302149,0.09492061984222208,0.3951498434476868,0.5099295367100911
2750,0.18168063318169894,0.30938887793087644,0.07292265041793596,0.2964412069790278,0.6306361426030361
1415,0.17174277045928915,0.30939196378835265,0.14779866847990816,0.39956760225424104,0.4526337292658508
1,0.206005404298303,0.3093930511860559,0.2721443017638131,0.22760325071985782,0.5002524475163291
2162,0.18881862304763694,0.30940035024620294,0.2523311859314121,0.3342914846249601,0.4133773294436277
2528,0.2008914917983566,0.3094024462183652,0.28171234902211756,0.26677011046596677,0.45151754051191567
664,0.20180399800036825,0.30941027118461517,0.2822986640167584,0.26088217360910226,0.4568191623741394
1031,0.17674118356936072,0.30941230955076265,0.18965425584312334,0.38586303941365907,0.4244827047432177
981,0.19310964124619115,0.30941533487520534,0.2675467214008475,0.31258330733479295,0.41986997126435954
2821,0.20654470690811247,0.3094176602559959,0.22333463848087842,0.20053027892861428,0.5761350825905072
204,0.19395999694618496,0.3094198763889859,0.27014046992519103,0.3080790555767629,0.421780474498046
1770,0.17417998660277603,0.3094214534579506,0.1711211439616627,0.3942837882508021,0.4345950677875352
161,0.20482336568180354,0.3094266561522786,0.27974707938029153,0.23924392207474152,0.4810089985449669
2209,0.17563408900490768,0.30942671057905186,0.18243081497348312,0.38988099317173264,0.42768819185478407
403,0.19683660652157725,0.30942957158498857,0.2774197193080292,0.292124406898024,0.43045587379394673
2115,0.2071263881209872,0.309445577197486,0.23059141232770844,0.20008058104608092,0.5693280066262106
474,0.18368416096131251,0.3094490502560955,0.07677920361586421,0.2847465946538868,0.638474201730249
1745,0.1815916375590777,0.30945182178363845,0.07049290942927801,0.2958767111167734,0.6336303794539486
2276,0.17250652965059307,0.3094533966397136,0.1585069481154413,0.39954349032445735,0.44194956156010134
188,0.17550542702603683,0.30945727828718456,0.18277420624374394,0.39091567648916875,0.42631011726708723
2598,0.18821049459376715,0.3094600593100369,0.2518920890611254,0.3381922188490793,0.40991569208979534
1813,0.1931354766373875,0.30946256006959677,0.2692232712501575,0.3132133184772078,0.4175634102726348
118,0.19314103659038764,0.3094725578750917,0.2695743789045895,0.31334424682317835,0.4170813742722321
2593,0.1785177640389327,0.30948265847810363,0.20389460181194308,0.38068662265486214,0.4154187755331948
243,0.20794162260383742,0.3094882619967228,0.26048048613769287,0.20891451382792617,0.5306050000343809
1267,0.17022146999649881,0.3094894265666565,0.13764057672007407,0.4049774303680155,0.4573819929119104
2388,0.19722399593033985,0.3094910258678985,0.13774266938536567,0.22246555884501415,0.6397917717696203
2968,0.20767105340385508,0.3094916403656231,0.2357397667614808,0.19886918109593868,0.5653910521425806
50,0.20256284662048768,0.30949361592391417,0.28614375398789027,0.25759718739706317,0.4562590586150466
818,0.19057062277585635,0.3094956244428718,0.10214496958105752,0.2503626617977975,0.647492368621145
2015,0.2079686873849589,0.3095138606616245,0.2660225574637065,0.21139151878905296,0.5225859237472406
